id,blocked,t_start,t_end,prefix,trial,mode,timestamp
BG0,False,7,8,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG1,False,15,19,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG2,True,5,15,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG3,False,32,33,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG4,False,34,38,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG5,False,37,39,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG6,False,27,33,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG7,False,21,23,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG8,False,24,26,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG9,False,38,40,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG10,False,29,38,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG11,False,36,38,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG12,False,2,6,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG13,True,6,13,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG14,True,10,16,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG15,True,10,19,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG16,False,35,37,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG17,False,20,21,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG18,False,2,8,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG19,False,36,39,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG20,False,31,38,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG21,False,16,19,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG22,False,35,40,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG23,True,8,17,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG24,False,27,37,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG25,False,35,36,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG26,True,7,16,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG27,False,27,30,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG28,False,16,25,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG29,False,19,28,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG30,False,34,39,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG31,True,7,13,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG32,False,3,7,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG33,False,31,33,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG34,False,8,16,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG35,False,34,40,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG36,False,23,31,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG37,False,14,16,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG38,False,37,40,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG39,False,4,5,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG40,False,4,5,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG41,True,4,13,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG42,False,36,40,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG43,False,12,14,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG44,False,27,33,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG45,False,29,30,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG46,False,3,10,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG47,True,12,16,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG48,False,27,30,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG49,False,15,17,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG50,False,6,7,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG51,False,34,35,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG52,False,15,18,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG53,True,13,20,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG54,False,29,34,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG55,False,35,39,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG56,False,13,14,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG57,False,20,21,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG58,False,37,39,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG59,False,32,34,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG60,True,4,14,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG61,False,39,40,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG62,False,37,40,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG63,False,20,24,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG64,True,8,13,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG65,False,4,5,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG66,False,39,40,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG67,False,34,36,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG68,True,8,14,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG69,False,23,28,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG70,False,28,37,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG71,False,35,38,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG72,True,8,13,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG73,False,35,37,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG74,False,38,39,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG75,False,13,18,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG76,False,3,5,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG77,False,2,3,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG78,False,8,13,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG79,False,35,36,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG80,False,4,7,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG81,False,23,33,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG82,False,23,24,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG83,False,13,17,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG84,False,39,40,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG85,False,15,18,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG86,False,11,17,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG87,False,17,20,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG88,False,24,25,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG89,False,14,18,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG90,False,14,18,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG91,False,12,19,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG92,False,22,31,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG93,True,7,12,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG94,False,2,4,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG95,False,22,28,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG96,False,12,17,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG97,False,33,40,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG98,False,4,10,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG99,True,7,12,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG100,False,26,32,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG101,False,12,19,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG102,False,0,5,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG103,False,27,37,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG104,True,13,22,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG105,False,32,38,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG106,True,14,18,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG107,False,15,23,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG108,False,36,38,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG109,False,25,29,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG110,False,27,31,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG111,False,33,37,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG112,False,7,15,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
BG113,False,39,40,dp_W2_users250_alpha1,0,stick_until_invisible,2025-09-14T20:00:26
