user_id,reward,success
169,2355.2298915528863,True
160,2255.055484988974,True
161,2023.668295656218,True
162,2067.9072043621227,True
163,2039.6191987496788,True
164,1851.8262693948043,True
165,2175.271015173357,True
166,1940.0855829946854,True
167,1866.4651495365158,True
168,2070.281541757281,True
139,2020.7717428846197,True
138,1603.52294132952,True
136,1452.547954825737,True
137,1688.2225911310745,True
135,1202.2561423025813,True
134,1026.7901709059047,True
133,1000.7335947698517,True
132,1192.1194612458187,True
130,1040.031261147539,True
131,904.5932296760969,True
158,1066.6119656666351,True
156,931.7596030747928,True
155,714.2539933565629,True
154,905.3824715730462,True
153,754.6068582536157,True
152,550.0894537977432,True
150,718.3150722815028,True
159,506.5796759759227,True
157,490.9320166040755,True
151,628.7135517983733,True
110,586.3314541603415,True
111,442.78241913951075,True
112,748.9197955437488,True
113,537.0899038381704,True
114,402.1329860439804,True
115,676.3864307488491,True
118,489.07306210745514,True
119,638.6158592163657,True
117,603.0805766118026,True
116,552.8604740297252,True
188,702.3384564464166,True
187,770.8114668886569,True
186,333.09335956215057,True
185,312.97284760713376,True
184,681.7605089673675,True
183,274.6703766446359,True
189,513.3397337483117,True
182,608.1476999982206,True
180,,False
181,,False
129,,False
120,,False
128,,False
127,,False
126,,False
125,,False
124,,False
123,,False
122,,False
121,,False
56,,False
58,,False
57,,False
50,,False
55,,False
54,,False
53,,False
52,,False
51,,False
59,,False
79,,False
78,,False
77,,False
76,,False
75,,False
72,,False
73,,False
71,,False
70,,False
74,,False
18,1920.0863782097515,True
17,1313.1116111236927,True
16,1763.1023826080489,True
15,1345.8463922006952,True
19,1143.2043023246233,True
10,1069.2302330171863,True
11,1049.864450678138,True
12,1006.121259820249,True
13,1415.8588048092056,True
14,1235.4638502003909,True
173,1493.5568979228344,True
174,1514.2952922569443,True
175,1469.611830903745,True
176,1289.2136132838386,True
177,951.5671804364681,True
178,770.5356079463749,True
179,721.6231174507659,True
171,826.2442681884586,True
170,637.9285857845688,True
172,603.5613607794779,True
68,1079.9894203218983,True
67,741.0098827760337,True
60,609.6763245235006,True
61,956.4047304955218,True
62,704.0055032822899,True
63,683.2980155271314,True
64,650.9959642290237,True
65,626.1326630607697,True
66,599.200988920848,True
69,581.254238834062,True
38,1425.6989769280758,True
36,1211.7864840408383,True
35,1199.3410730539201,True
34,1031.0407496565488,True
33,1056.5600072614645,True
32,1043.417355099513,True
31,991.6705661357927,True
30,610.6539768192703,True
39,806.4985178149348,True
37,730.6042576446536,True
97,1016.4287329071208,True
90,581.7290897228086,True
98,897.6426471908537,True
96,498.70421099640794,True
95,483.31860714285665,True
99,623.7539009390039,True
93,783.9012860682149,True
92,733.0691924363512,True
91,387.04340294659886,True
94,370.9733453067758,True
190,523.9805573209916,True
192,490.6313845502515,True
193,463.9646506706115,True
194,666.0759040148082,True
195,449.1157501874592,True
196,891.1337977090533,True
197,766.6965074484411,True
191,514.0337556022973,True
199,350.9453541930161,True
198,323.73608956976494,True
140,689.3972082666783,True
141,1102.4005569462147,True
142,905.3139936383129,True
143,855.5667796996543,True
144,526.758780920771,True
145,653.0020361963725,True
146,468.7397880449171,True
147,447.50707444707984,True
148,423.839230227003,True
149,537.4430760710462,True
0,1027.7109052860899,True
9,1098.4653762008877,True
8,1048.6320525086321,True
7,845.485073346606,True
6,479.0755080715013,True
2,453.66910885878553,True
4,769.0872831356984,True
3,578.0844704773328,True
1,370.3640143043692,True
5,682.7760020209232,True
82,673.7439072440637,True
80,641.2828019525065,True
81,852.8730891254636,True
83,812.6038751294318,True
89,569.9271770677193,True
85,776.9052680324132,True
86,725.4182316873371,True
87,585.6210708992147,True
88,490.98092406009965,True
84,631.4719422611349,True
28,876.8296239300123,True
20,589.4032535065729,True
21,824.1128986388853,True
22,560.7100722738811,True
23,785.5470974452462,True
24,731.8976178957599,True
25,366.69775862196104,True
26,427.06444095626824,True
27,602.388981065195,True
29,572.7218607038354,True
49,884.1929026808793,True
41,641.6948075789306,True
42,814.1439921410425,True
43,592.0082736329304,True
44,518.6936459098661,True
45,557.4583295826178,True
46,540.7183407731826,True
47,463.691340790222,True
48,436.27406266364403,True
40,352.627677693077,True
107,590.8778805082034,True
106,540.278010165487,True
105,514.1680892885561,True
104,479.1319111256207,True
100,415.85601321010023,True
102,339.795699924623,True
101,338.8139239966477,True
109,328.0688556527083,True
103,316.8524534495881,True
108,295.98050569294753,True
