user_id,time,sat,channel,data_rate
149,1,STARLINK-2575,1,229.34284927074907
149,2,STARLINK-31858,0,269.9368814488134
149,3,STARLINK-31858,0,184.6496098230896
149,4,STARLINK-5086,1,242.40721086031164
149,5,STARLINK-5086,1,196.49561827721098
149,6,STARLINK-4158,1,245.26433732702935
149,7,STARLINK-4158,1,253.62433592900987
149,8,STARLINK-4158,10,227.64999896762046
149,9,STARLINK-4158,10,159.13368214553796
149,10,STARLINK-34160,0,179.2182634904105
149,11,STARLINK-34160,0,156.20525389389223
147,1,STARLINK-2575,2,229.34284927074907
147,2,STARLINK-31858,2,269.9368814488134
147,3,STARLINK-31858,2,70.36744860651048
147,4,STARLINK-5086,3,242.40721086031164
147,5,STARLINK-5086,3,124.26624776676599
147,6,STARLINK-34163,4,215.8363270571883
147,7,STARLINK-34163,4,220.06663698522055
147,8,STARLINK-33873,13,213.82524105433816
147,9,STARLINK-33873,13,265.1822110758541
147,10,STARLINK-34160,1,179.2182634904105
147,11,STARLINK-34160,1,156.20067562186856
146,1,STARLINK-2575,5,229.34284927074907
146,2,STARLINK-31858,4,269.9368814488134
146,3,STARLINK-31858,4,184.6496098230896
146,4,STARLINK-5086,5,242.40721086031164
146,5,STARLINK-5086,5,196.49558448862268
146,6,STARLINK-34163,5,215.8363270571883
146,7,STARLINK-34163,5,220.06663698522055
146,8,STARLINK-33873,14,213.82524105433816
146,9,STARLINK-33873,14,265.1822110758541
146,10,STARLINK-34160,4,179.2182634904105
146,11,STARLINK-34160,4,156.20554597475234
145,1,STARLINK-2575,7,229.34284927074907
145,2,STARLINK-31858,7,269.9368814488134
145,3,STARLINK-31858,7,184.6474591942609
145,4,STARLINK-5086,6,242.40721086031164
145,5,STARLINK-5086,6,54.79555245752905
145,6,STARLINK-4158,8,245.26433732702935
145,7,STARLINK-4158,8,253.6270181154059
145,8,STARLINK-4158,18,227.64999896762046
145,9,STARLINK-4158,18,159.13918305240844
145,10,STARLINK-34160,6,179.2182634904105
145,11,STARLINK-34160,6,156.20554618628245
144,1,STARLINK-2575,9,229.34284927074907
144,2,STARLINK-31858,10,269.9368814488134
144,3,STARLINK-31858,10,184.64562907850762
144,4,STARLINK-32001,10,220.1173080660591
144,5,STARLINK-32001,10,38.67267555808043
144,6,STARLINK-34163,9,215.8363270571883
144,7,STARLINK-34163,9,220.06663698522055
144,8,STARLINK-33873,20,213.82524105433816
144,9,STARLINK-33873,20,265.1822110758541
144,10,STARLINK-34160,7,179.2182634904105
144,11,STARLINK-34160,7,156.20554618628245
144,12,STARLINK-31678,3,278.9044845508116
144,13,STARLINK-31678,3,144.63434954856646
143,1,STARLINK-2575,12,229.34284927074907
143,2,STARLINK-31858,13,269.9368814488134
143,3,STARLINK-31858,13,184.6496098230896
143,4,STARLINK-5086,12,242.40721086031164
143,5,STARLINK-5086,12,124.2641739279794
143,6,STARLINK-30955,15,205.822950137763
143,7,STARLINK-30955,15,198.24604732567303
143,8,STARLINK-33873,22,213.82524105433816
143,9,STARLINK-33873,22,117.14818080348907
143,10,STARLINK-34160,8,179.2182634904105
143,11,STARLINK-34160,8,156.20554618628245
142,1,STARLINK-5163,18,170.70104048523052
142,2,STARLINK-31858,15,269.9368814488134
142,3,STARLINK-31858,15,184.6496098230896
142,4,STARLINK-32001,17,220.1173080660591
142,5,STARLINK-32001,17,158.2474614735841
142,6,STARLINK-5860,19,193.7467441147664
142,7,STARLINK-5860,19,209.23857285806278
142,8,STARLINK-4158,23,227.64999896762046
142,9,STARLINK-4158,23,159.13918305240844
142,10,STARLINK-34160,10,179.2182634904105
142,11,STARLINK-34160,10,156.19943374129173
141,1,STARLINK-2575,20,229.34284927074907
141,2,STARLINK-3701,20,213.0314472243857
141,3,STARLINK-3701,20,172.16741798908654
141,4,STARLINK-6186,19,199.06512721732335
141,5,STARLINK-6186,19,103.05703238885808
141,6,STARLINK-34163,21,215.81161310026107
141,7,STARLINK-34163,21,220.06663698522055
141,8,STARLINK-33873,3,213.82511413659694
141,9,STARLINK-33873,3,265.1822110758541
141,10,STARLINK-34160,14,179.2182634904105
141,11,STARLINK-34160,14,156.20554618628245
141,12,STARLINK-31678,9,278.9044845508116
148,1,STARLINK-5163,23,170.70104048523052
148,2,STARLINK-31858,22,269.9368814488134
148,3,STARLINK-31858,22,184.6496098230896
148,4,STARLINK-5086,23,242.40721086031164
148,5,STARLINK-5086,23,54.79305185377188
148,6,STARLINK-30955,24,164.01746635502872
148,7,STARLINK-30955,24,103.33526321596239
148,8,STARLINK-33918,0,178.50641297256917
148,9,STARLINK-33918,0,34.46086616453186
148,10,STARLINK-34160,17,179.2182634904105
148,11,STARLINK-34160,17,156.20554618628245
148,12,STARLINK-31678,11,278.9044845508116
148,13,STARLINK-31678,11,144.63377517488368
140,1,STARLINK-5163,11,170.70055131717575
140,2,STARLINK-3701,24,213.0314472243857
140,3,STARLINK-3701,24,172.16741798908654
140,4,STARLINK-32001,24,220.1173080660591
140,5,STARLINK-32001,24,74.96908225637834
140,6,STARLINK-4158,14,143.49685695211127
140,7,STARLINK-4158,14,96.85198302636145
140,8,STARLINK-4158,11,227.64965202802236
140,9,STARLINK-4158,11,159.1379285428766
