id,blocked,t_start,t_end,prefix,trial,mode,timestamp
BG70,False,28,37,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG71,False,35,38,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG72,False,8,13,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG73,False,35,37,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG74,False,38,39,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG75,False,13,18,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG76,False,3,5,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG77,False,2,3,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG78,False,8,13,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG79,False,35,36,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG80,False,4,7,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG81,False,23,33,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG82,False,23,24,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG83,False,13,17,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG84,False,39,40,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG85,False,15,18,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG86,False,11,17,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG87,False,17,20,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG88,False,24,25,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG89,False,14,18,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG90,False,14,18,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG91,False,12,19,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG92,False,22,31,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG93,False,7,12,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG94,False,2,4,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG95,False,22,28,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG96,False,12,17,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG97,False,33,40,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG98,False,4,10,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG99,False,7,12,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG100,False,26,32,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG101,False,12,19,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG102,False,0,5,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG103,False,27,37,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG104,False,13,22,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG105,False,32,38,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG106,False,14,18,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG107,False,15,23,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG108,False,36,38,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG109,False,25,29,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG110,False,27,31,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG111,False,33,37,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
BG112,False,7,15,dp_W4_alpha1,0,stick_until_invisible,2025-09-05T14:45:50
