alpha,dp,greedy,hungarian,mslb,ga
0.0,0.10540000000000001,0.11069999999999998,0.1142,0.07002,0.06122000000000001
0.25,0.0834,0.0764,0.0944,0.057800000000000004,0.036759999999999994
0.5,0.054680000000000006,0.0638,0.07719999999999998,0.04923999999999999,0.04063999999999999
0.75,0.04824,0.05854000000000001,0.0648,0.0414,0.031860000000000006
1.0,0.03788,0.0496,0.0504,0.0394,0.046180000000000006
