users,dp,greedy,hungarian,mslb,ga
100,0.029800000000000004,0.03219999999999999,0.035,0.032999999999999995,0.029200000000000004
150,0.052,0.1556,0.129,0.11440000000000002,0.0654
200,0.15639999999999998,0.1964,0.1556,0.1482,0.1556
250,0.17019999999999996,0.2774,0.2404,0.21200000000000002,0.15
300,0.2868,0.3868,0.298,0.29079999999999995,0.16419999999999996
