users,dp,greedy,hungarian,mslb,ga
100,11.991540160513603,14.487112065991862,13.28076441191567,11.561202351024344,14.644240230814859
150,24.189090883252188,27.009318965708257,24.39865720547764,23.56510507050866,18.08859027767012
200,30.62806821649135,36.23179181559355,31.988371929050903,31.38166714083627,30.229639985960794
250,33.41994465646351,47.1012655625565,42.55420289775816,38.94676516197133,31.652903818810593
300,47.574356060285105,55.03679074846476,49.03808565921601,50.59153504715811,34.11747818009566
