users,dp,greedy,hungarian,mslb,ga
100,0.03788,0.0496,0.0504,0.0394,0.0504
150,0.052,0.1096,0.1202,0.11760000000000001,0.1202
200,0.06359999999999999,0.1352,0.1412,0.1274,0.1412
250,0.0954,0.21221999999999996,0.2088,0.1466,0.15
300,0.22107999999999997,0.31255999999999995,0.29080000000000006,0.27440000000000003,0.29080000000000006
