users,dp,ga,greedy,hungarian,mslb
100,107.14883238258466,100.1456279237147,105.43834375977713,106.79016192913105,98.04022485331755
150,65.89330737953405,62.9478746994336,65.29984032909356,65.02458925129812,63.44052818897999
200,53.95111986635567,54.74860357963085,51.50375862162018,54.37353784967426,50.07241390808287
250,49.574567753449685,41.58871137865523,40.72384501451408,42.52505653957995,41.28321099836892
300,36.99477619224598,35.8153610120288,34.86797398343722,35.02538887788676,32.90779266973043
