users,dp,greedy,hungarian,mslb,ga
100,12.052632040228877,13.006607594222501,13.4313658511516,11.818960853109834,12.893241570806135
150,20.464033867696738,22.756201269133978,24.299547909352473,24.063641519558757,19.623513390580758
200,20.491005754654445,29.87045761591857,31.044570802766213,29.5997949090954,28.296966621464936
250,26.524990386836823,39.52498368836094,39.65476079956637,30.849117640486487,36.03429378498188
300,40.27144319124545,51.42076751762424,50.28303360692671,47.90660805652526,39.07983943945426
