user_id,time,sat,channel,data_rate
90,0,STARLINK-31858,0,256.5950597279211
90,1,STARLINK-2575,1,229.34284927074907
90,2,STARLINK-2575,1,23.134312247385758
90,3,STARLINK-2575,1,221.84860563872192
90,4,STARLINK-5086,1,83.66547952664024
90,5,STARLINK-5086,1,59.65166950446918
90,6,STARLINK-5086,1,13.767415953442041
90,7,STARLINK-4158,3,43.35132755275176
90,8,STARLINK-4158,3,38.823811789109214
90,9,STARLINK-4158,3,22.98272788673029
90,10,STARLINK-34160,0,67.97219927998454
90,11,STARLINK-34160,0,155.00094801691023
91,0,STARLINK-31858,5,256.5950597279211
91,1,STARLINK-2575,2,229.34284927074907
91,2,STARLINK-2575,2,51.4814517015574
91,3,STARLINK-2575,2,66.19970674847634
91,4,STARLINK-5086,3,94.99857438747911
91,5,STARLINK-5086,3,124.26624776676599
91,6,STARLINK-5086,3,17.378916147221315
91,7,STARLINK-4158,4,52.68923483542958
91,8,STARLINK-4158,4,47.584771812188976
91,9,STARLINK-4158,4,22.981896989206827
91,10,STARLINK-34160,1,67.97219927998454
92,0,STARLINK-31858,10,256.5950597279211
92,1,STARLINK-2575,7,229.34284927074907
92,2,STARLINK-2575,7,51.4814517015574
92,3,STARLINK-2575,7,53.36360375654692
92,4,STARLINK-34163,5,83.7531074625118
92,5,STARLINK-34163,5,25.31153074017657
92,6,STARLINK-34163,5,35.46503348767895
92,7,STARLINK-4158,5,96.42357429101723
92,8,STARLINK-4158,5,75.09207540446788
92,9,STARLINK-4158,5,18.029530432063364
92,10,STARLINK-34160,4,67.97219927998454
92,11,STARLINK-34160,4,75.16852062692172
92,12,STARLINK-34160,4,132.58790404674383
93,0,STARLINK-31858,11,256.5950597279211
93,1,STARLINK-2575,9,229.34284927074907
93,2,STARLINK-2575,9,19.50814556580574
93,3,STARLINK-2575,9,130.1954898186767
93,4,STARLINK-5086,6,63.37738291684601
93,5,STARLINK-5086,6,35.93713059911307
93,6,STARLINK-5086,6,32.627910660491665
93,7,STARLINK-4158,8,62.15296334615118
93,8,STARLINK-4158,8,47.58546249177769
93,9,STARLINK-4158,8,22.98268980804536
93,10,STARLINK-34160,6,67.97219927998454
93,11,STARLINK-34160,6,75.14451946370885
94,0,STARLINK-6186,18,223.3181288055333
94,1,STARLINK-2575,12,229.34284927074907
94,2,STARLINK-2575,12,19.507919330948287
94,3,STARLINK-2575,12,130.1954898186767
94,4,STARLINK-34163,10,63.417380197562075
94,5,STARLINK-34163,10,16.478789987138732
94,6,STARLINK-34163,10,33.85062226866734
94,7,STARLINK-33873,9,44.788782464050776
94,8,STARLINK-33873,9,46.33511348276225
94,9,STARLINK-33873,9,125.86662080856667
94,10,STARLINK-34160,7,67.97357848755762
94,11,STARLINK-34160,7,75.14451946370885
94,12,STARLINK-34160,7,21.056533484678894
95,0,STARLINK-31858,20,256.5950597279211
95,1,STARLINK-2575,20,229.34284927074907
95,2,STARLINK-2575,20,137.84462617534035
95,3,STARLINK-2575,20,221.84939389905236
95,4,STARLINK-5086,17,122.05585311443096
95,5,STARLINK-5086,17,53.27807565314125
95,6,STARLINK-5086,17,32.278081490379165
95,7,STARLINK-34165,13,21.130300595625197
95,8,STARLINK-34165,13,21.83135442860705
95,9,STARLINK-34165,13,12.181840194074885
95,10,STARLINK-34160,8,67.97219927998454
95,11,STARLINK-34160,8,75.14451946370885
96,0,STARLINK-6186,23,223.3181288055333
96,1,STARLINK-5163,23,170.70104048523052
96,2,STARLINK-5163,23,22.719702132938583
96,3,STARLINK-5163,23,38.19129172670328
96,4,STARLINK-32001,19,48.48287601831255
96,5,STARLINK-32001,19,21.22722241594207
96,6,STARLINK-32001,19,14.115478059258793
96,7,STARLINK-4158,14,96.85198302636145
96,8,STARLINK-4158,14,55.277637796974325
96,9,STARLINK-4158,14,22.98272788673029
96,10,STARLINK-33918,10,72.98121829495413
97,0,STARLINK-6186,8,223.3174231511076
