user_id,success,reward
82,True,1764.8051010506742
84,True,1633.7455627730224
80,True,1764.8023374880722
81,True,1764.8007499224595
83,True,2494.4735419229073
85,True,2470.4801117297866
86,True,2355.262604067466
88,True,1541.4782353555775
89,True,2355.2504596111594
87,True,1541.4634037380245
66,True,2255.1643915222135
65,True,2049.6352322343505
69,True,2165.9260923540264
67,True,2165.8789179951273
68,True,1943.6546387829999
71,True,1541.8948892408837
72,True,1908.983454721832
70,True,1908.9282342758488
73,True,1775.350759516451
74,True,1463.8590659786917
45,True,1579.4258319826167
46,True,1439.186855604067
47,True,1374.3990178339698
48,True,1406.5695101476217
49,True,1320.5031625333281
30,True,2038.7859439983627
31,True,1671.8635057304223
32,True,1526.8367024202987
33,True,1772.2127807363586
34,True,1679.8362130014648
63,True,1953.846497240484
61,True,1730.9543835610332
64,True,1713.147477583948
60,True,1708.3929200938421
62,True,1662.2769192597996
75,True,1579.7800519768607
76,True,1673.5907402508108
79,True,1411.888139145946
78,True,1552.4217934130438
77,True,1370.5560854550022
37,True,1496.075939287159
38,True,1362.5454091050492
39,True,1237.8075323977823
35,True,970.8288441730878
36,True,962.7226948858047
58,True,857.4781269369344
59,True,1709.4057961530905
55,True,1442.5154929061996
57,True,1616.2759540874881
56,True,1616.273286158768
94,True,1497.8142348076094
93,True,1537.0016544238256
92,True,1291.344540085711
90,True,1487.4991623686778
91,True,1277.6716081794425
96,True,1390.620614124995
95,True,816.2273266963583
97,True,814.1546757943036
99,True,1205.968296649266
98,True,762.0110995432427
19,True,1200.887245585416
17,True,1267.132362484717
18,True,1234.1804157766924
15,True,1685.9630301582292
16,True,1582.4967791110835
29,True,1637.4486686685818
28,True,1811.0525742814273
27,True,1782.9809327131331
26,True,1899.5651892294422
25,True,1524.7539107018729
14,True,1575.6613860679788
12,True,1575.6345811538238
11,True,1478.592929163969
10,True,1841.1176192949315
13,True,1478.53422533911
54,True,1805.4332833732183
53,True,1696.761715939576
52,True,1595.656791293638
51,True,1498.241534113277
50,True,1416.3748583652741
40,True,1089.7492368725286
41,True,917.1837017519672
42,True,1462.9601861757526
43,True,830.7827105593842
44,True,817.3486681020067
22,True,1637.145285595525
21,True,1489.4922403615426
23,True,1487.0641173287383
20,True,1605.5533202591341
24,True,1605.551759101741
9,True,1618.2556273866799
8,True,1389.2496078532326
7,True,1495.1086966349603
6,True,1376.1032741004817
5,True,1404.9055892872316
4,True,1624.9628362358953
3,True,1545.7212168826884
2,True,955.7320574972448
1,True,1439.4043264427587
0,True,1412.087354170089
