alpha,dp,ga,greedy,hungarian,mslb
0.0,22.808019503185072,16.21566130887431,19.347089337424208,20.801527903057895,17.28817523486783
0.25,19.939996962785816,11.89672590190462,17.036237192995834,18.99350357703363,16.329735360196274
0.5,15.767733433958114,11.745689766848077,15.688246664603133,16.918316999039416,14.305966798736623
0.75,14.102502763204646,10.599343769424385,14.629835650253046,15.454780312664912,12.640600760247747
1.0,12.052632040228877,10.976497634516221,13.006607594222501,13.4313658511516,11.818960853109834
