users,dp,greedy,hungarian,mslb,ga
100,0.04824,0.0496,0.14537999999999998,0.0414,0.031860000000000006
150,0.08399999999999999,0.1096,0.17139999999999997,0.11760000000000001,0.07010000000000001
200,0.06359999999999999,0.1352,0.23296000000000006,0.1274,0.12239999999999998
250,0.0954,0.21221999999999996,0.2678,0.1466,0.2678
300,0.2162,0.31255999999999995,0.2956,0.27440000000000003,0.20380000000000004
