user_id,reward,success
82,2429.795027825349,True
84,2232.8746111282867,True
80,2329.620488836171,True
81,2279.531998630319,True
83,2349.2231043878924,True
85,2236.6896578163637,True
86,2064.450078627131,True
88,1909.0677190221156,True
89,2044.4830241997477,True
87,1880.3665611423276,True
66,2005.4120978061937,True
65,1765.826780304661,True
69,1936.0199491983738,True
67,1852.1121506969694,True
68,1618.844419328072,True
71,2098.2705146771336,True
72,1560.4978151449448,True
70,1412.6774719930725,True
73,1342.0500425931987,True
74,1745.7851090617287,True
45,1822.0763944026605,True
46,1414.0314152783371,True
47,1470.0470062289917,True
48,1294.1519063227074,True
49,1466.7356544657214,True
30,1250.815903371081,True
31,881.548368068319,True
32,813.0841282391984,True
33,1009.0105879760206,True
34,959.3414030728368,True
63,1354.7110338922132,True
61,1094.454096310792,True
64,1190.577525308665,True
60,1078.2892531234015,True
62,984.1269301715104,True
75,2022.036275355243,True
76,1687.0983439143465,True
79,1258.520004635013,True
78,1406.1433109808984,True
77,1318.23122346365,True
37,1353.188255933093,True
38,1319.4154345419886,True
39,1063.643012801583,True
35,986.0717520343854,True
36,934.6221163075336,True
58,1086.9426383859677,True
59,1446.2753384999755,True
55,1194.5241111956584,True
57,1385.2103042480674,True
56,1205.5576519981446,True
94,1391.287681361804,True
93,1128.2255380027732,True
92,873.4732070923881,True
90,1283.033324512753,True
91,844.0975846573651,True
96,1382.696742927172,True
95,967.4143404236652,True
97,925.1120230507645,True
99,1075.6165574705292,True
98,877.5998613878257,True
19,851.8365382210239,True
17,998.9242753515302,True
18,947.5504477953305,True
15,1196.4291516669095,True
16,1172.550744283861,True
29,1400.0595420782815,True
28,1546.334857062611,True
27,1459.236763599051,True
26,1784.9163124803083,True
25,1254.470069150534,True
14,1719.9019107073702,True
12,1522.9871279846209,True
11,1413.4409960917258,True
10,1422.4070220490178,True
13,1149.41056593968,True
54,1342.442154548201,True
53,997.5289103773655,True
52,1050.0771411333264,True
51,944.3212511151138,True
50,862.7533379832853,True
40,1064.9221233389487,True
41,1039.1756883420996,True
42,1336.1125975718744,True
43,1017.1720724933542,True
44,990.421582756762,True
22,1402.7602698121502,True
21,1260.3684960563119,True
23,1186.9240543970257,True
20,1249.1627277781727,True
24,1189.540498129765,True
9,1115.7685366579171,True
8,973.1143976638243,True
7,1048.6196059439587,True
6,886.7648146793824,True
5,913.3952046697648,True
4,1083.1374038298832,True
3,1038.3408971075273,True
2,815.8567624045542,True
1,971.0255424211075,True
0,890.646678776044,True
